State,un_emp_rate
Alabama,8.3
Alaska,7.4
Arizona,8.8
Arkansas,7.8
California,11.2
Colorado,8.2
Connecticut,8.3
Delaware,7.2
District of Columbia,9.9
Florida,9.1
Georgia,9.8
Hawaii,6.8
Idaho,7.8
Illinois,9.4
Indiana,8.8
Iowa,5.3
Kansas,6.1
Kentucky,8.6
Louisiana,7.5
Maine,7.7
Maryland,7
Massachusetts,6.8
Michigan,9.4
Minnesota,5.9
Mississippi,9.4
Missouri,7.6
Montana,6.4
Nebraska,4.2
Nevada,12.3
New Hampshire,5.4
New Jersey,9.2
New Mexico,7.6
New York,8.6
North Carolina,9.8
North Dakota,3.3
Ohio,8
Oklahoma,5.6
Oregon,9.2
Pennsylvania,7.8
Rhode Island,11.2
South Carolina,10
South Dakota,4.4
Tennessee,8.1
Texas,7.2
Utah,6
Vermont,5.2
Virginia,6.4
Washington,8.8
West Virginia,7.5
Wisconsin,7.3
Wyoming,5.6
